Date,Category,Item_ID,Weight_Percentage,Target_Weight,Daily_Market_Normalized_Price,Method
2026-03-27,Staples,Staples_Atta_5kg,6.25,5000,6.12,Scraped
2026-03-27,Staples,Staples_Basmati_1kg,6.25,1000,9.50,Scraped
2026-03-27,Staples,Staples_ToorDal_500g,6.25,500,17.40,Scraped
2026-03-27,Staples,Staples_Sugar_1kg,6.25,1000,6.00,Scraped
2026-03-27,Dairy,Dairy_TonedMilk_1L,5.00,1000,7.50,Scraped
2026-03-27,Dairy,Dairy_Butter_500g,5.00,500,57.00,Scraped
2026-03-27,Dairy,Dairy_Eggs_6pk,5.00,6,11.40,Scraped
2026-03-27,Dairy,Dairy_Paneer_200g,5.00,200,44.50,Scraped
2026-03-27,Produce,Produce_Onion_1kg,5.00,1000,4.10,Scraped
2026-03-27,Produce,Produce_Potato_1kg,5.00,1000,3.60,Scraped
2026-03-27,Produce,Produce_Tomato_1kg,5.00,1000,5.40,Scraped
2026-03-27,Produce,Produce_Banana_6pcs,5.00,6,8.33,Scraped
2026-03-27,Oils,Oils_Sunflower_840g,7.50,840,18.57,Scraped
2026-03-27,Oils,Oils_Mustard_1L,7.50,1000,16.80,Scraped
2026-03-27,Household,Household_Soap_5x125g,3.33,625,54.40,Scraped
2026-03-27,Household,Household_Toothpaste_150g,3.33,150,86.67,Scraped
2026-03-27,Household,Household_SurfExcel_1kg,3.34,1000,13.80,Scraped
2026-03-27,Snacks,Snacks_Tea_250g,3.33,250,45.60,Scraped
2026-03-27,Snacks,Snacks_Coffee_50g,3.33,50,446.00,Scraped
2026-03-27,Snacks,Snacks_ParleG_250g,3.34,250,10.80,Scraped
2026-03-28,Staples,Staples_Atta_5kg,6.25,5000,6.12,Scraped
2026-03-28,Staples,Staples_Basmati_1kg,6.25,1000,9.50,Scraped
2026-03-28,Staples,Staples_ToorDal_500g,6.25,500,17.40,Scraped
2026-03-28,Staples,Staples_Sugar_1kg,6.25,1000,6.00,Scraped
2026-03-28,Dairy,Dairy_TonedMilk_1L,5.00,1000,7.50,Scraped
2026-03-28,Dairy,Dairy_Butter_500g,5.00,500,57.00,Scraped
2026-03-28,Dairy,Dairy_Eggs_6pk,5.00,6,11.50,Scraped
2026-03-28,Dairy,Dairy_Paneer_200g,5.00,200,44.50,Scraped
2026-03-28,Produce,Produce_Onion_1kg,5.00,1000,4.30,Scraped
2026-03-28,Produce,Produce_Potato_1kg,5.00,1000,3.60,Scraped
2026-03-28,Produce,Produce_Tomato_1kg,5.00,1000,5.90,Scraped
2026-03-28,Produce,Produce_Banana_6pcs,5.00,6,8.33,Scraped
2026-03-28,Oils,Oils_Sunflower_840g,7.50,840,18.57,Scraped
2026-03-28,Oils,Oils_Mustard_1L,7.50,1000,16.80,Scraped
2026-03-28,Household,Household_Soap_5x125g,3.33,625,54.40,Scraped
2026-03-28,Household,Household_Toothpaste_150g,3.33,150,86.67,Scraped
2026-03-28,Household,Household_SurfExcel_1kg,3.34,1000,13.80,Scraped
2026-03-28,Snacks,Snacks_Tea_250g,3.33,250,45.60,Scraped
2026-03-28,Snacks,Snacks_Coffee_50g,3.33,50,446.00,Scraped
2026-03-28,Snacks,Snacks_ParleG_250g,3.34,250,10.80,Scraped
2026-03-29,Staples,Staples_Atta_5kg,6.25,5000,6.15,Scraped
2026-03-29,Staples,Staples_Basmati_1kg,6.25,1000,9.50,Scraped
2026-03-29,Staples,Staples_ToorDal_500g,6.25,500,17.40,Scraped
2026-03-29,Staples,Staples_Sugar_1kg,6.25,1000,6.00,Scraped
2026-03-29,Dairy,Dairy_TonedMilk_1L,5.00,1000,7.50,Scraped
2026-03-29,Dairy,Dairy_Butter_500g,5.00,500,57.00,Scraped
2026-03-29,Dairy,Dairy_Eggs_6pk,5.00,6,11.80,Scraped
2026-03-29,Dairy,Dairy_Paneer_200g,5.00,200,45.00,Scraped
2026-03-29,Produce,Produce_Onion_1kg,5.00,1000,4.60,Scraped
2026-03-29,Produce,Produce_Potato_1kg,5.00,1000,3.80,Scraped
2026-03-29,Produce,Produce_Tomato_1kg,5.00,1000,6.50,Scraped
2026-03-29,Produce,Produce_Banana_6pcs,5.00,6,8.50,Scraped
2026-03-29,Oils,Oils_Sunflower_840g,7.50,840,18.80,Scraped
2026-03-29,Oils,Oils_Mustard_1L,7.50,1000,16.80,Scraped
2026-03-29,Household,Household_Soap_5x125g,3.33,625,54.40,Scraped
2026-03-29,Household,Household_Toothpaste_150g,3.33,150,86.67,Scraped
2026-03-29,Household,Household_SurfExcel_1kg,3.34,1000,13.80,Scraped
2026-03-29,Snacks,Snacks_Tea_250g,3.33,250,45.60,Scraped
2026-03-29,Snacks,Snacks_Coffee_50g,3.33,50,446.00,Scraped
2026-03-29,Snacks,Snacks_ParleG_250g,3.34,250,10.80,Scraped
2026-03-30,Staples,Staples_Atta_5kg,6.25,5000,6.15,Scraped
2026-03-30,Staples,Staples_Basmati_1kg,6.25,1000,9.50,Scraped
2026-03-30,Staples,Staples_ToorDal_500g,6.25,500,17.40,Scraped
2026-03-30,Staples,Staples_Sugar_1kg,6.25,1000,6.00,Scraped
